patientprocedureid,MediaType,appannotationid,annotationfilepath,annotationfilesize,annotationname,isactive,archivestatus,ProcedureStatus,cognitouser_username,subscriptionstatus,terminationaction,mediaid
2065,Global,huh1A1D1E2C-EEB4-4C89-A810-8FDB04CF48D2,public/2065/32A529BF-0D69-4E69-BDB5-C8C63D44D0F9/textAnnotations/huh.html,624,huh,1,NULL,NULL,Surgn_01,10,NULL,
2065,Global,36ee6707-3c72-41d5-bc74-58072ddda080,public/2065/32A529BF-0D69-4E69-BDB5-C8C63D44D0F9/others/original/z_document_20200430183719.docx,11344,z_document_20200430183719.docx,0,NULL,NULL,Surgn_01,10,NULL,
2065,Global,2643ee34-cd1c-438a-be9d-ed983580c3cb,public/2065/32A529BF-0D69-4E69-BDB5-C8C63D44D0F9/others/original/z_document_20200430183804.xlsx,45333,z_document_20200430183804.xlsx,0,NULL,NULL,Surgn_01,10,NULL,
2066,Global,junhu83715382-BC8E-42B9-9A8D-F75F25A0C851,public/2066/CBC2A89B-18C2-4292-AD3F-ABC5A087A251/textAnnotations/junhu.html,624,junhu,1,NULL,NULL,Surgn_01,10,NULL,
2067,Global,hbh44975338-EC52-48F2-9620-61163B7D4752,public/2067/22E941A7-978F-436D-A4B5-1795B6DF36D2/textAnnotations/hbh.html,624,hbh,1,NULL,4,Surgn_01,10,NULL,
2067,Global,9d3102a2-cf09-445e-87d8-13ecdd34f926,public/2067/22E941A7-978F-436D-A4B5-1795B6DF36D2/textAnnotations/z_dfd.html,100,z_dfd,0,NULL,4,Surgn_01,10,NULL,
2067,Global,4d363725-5f53-4d67-8caf-782c4010c3ab,public/2067/22E941A7-978F-436D-A4B5-1795B6DF36D2/audiosAnnotations/z_dfsdfd.mp3,46152,z_dfsdfd.mp3,0,NULL,4,Surgn_01,10,NULL,
2067,Global,e83a931c-e3c8-457e-b963-ad03f92f9242,public/2067/22E941A7-978F-436D-A4B5-1795B6DF36D2/textAnnotations/z_dfdsfsd.html,100,z_dfdsfsd,1,NULL,4,Surgn_01,10,NULL,
2067,Global,ea8cadcd-d3d1-4545-a66d-5711e82b6a43,public/2067/22E941A7-978F-436D-A4B5-1795B6DF36D2/audiosAnnotations/z_sdfdsf.mp3,47138,z_sdfdsf.mp3,0,NULL,4,Surgn_01,10,NULL,
2068,Global,ghh33593DB3-7F50-44F1-8A82-CD67E5588135,public/2068/6BE2E4BC-9800-4F35-8D19-A658ACFFF583/textAnnotations/ghh.html,624,ghh,1,NULL,4,Surgn_01,10,NULL,
2069,Global,bub4736A02F-38D2-4FA8-AE81-8AEF8A420742,public/2069/3D0C940C-D688-4C62-B6A3-3DA38235E71D/textAnnotations/bub.html,608,bub,1,NULL,4,Surgn_01,10,NULL,
2069,Global,00066d64-0e35-4fd4-aa41-f8fcb889474d,public/2069/3D0C940C-D688-4C62-B6A3-3DA38235E71D/audiosAnnotations/z_NewAudio.mp3,113998,z_NewAudio.mp3,0,NULL,4,Surgn_01,10,NULL,
2069,Global,6afb816a-d10d-45f2-990e-909870332f6a,public/2069/3D0C940C-D688-4C62-B6A3-3DA38235E71D/textAnnotations/z_Text.html,100,z_Text,0,NULL,4,Surgn_01,10,NULL,
2069,Global,78960d36-c1bd-4f96-bbc4-64404eb94e07,public/2069/0452C64C-B115-4BBF-B4CE-3E2CCE23C538/others/original/z_document_20200320172047.docx,0,z_document_20200430122655.docx,1,NULL,4,Surgn_01,10,NULL,
2069,Global,1d8b2554-3f07-4211-82a2-0f530340c9db,public/2069/3D0C940C-D688-4C62-B6A3-3DA38235E71D/others/original/z_document_20200430123248.xlsx,10616,z_document_20200430123248.xlsx,0,NULL,4,Surgn_01,10,NULL,
2069,Global,98bcff54-ade5-413d-bf84-660218707580,public/2069/3D0C940C-D688-4C62-B6A3-3DA38235E71D/others/original/z_document_20200430180809.xls,32768,z_document_20200430180809.xls,0,NULL,4,Surgn_01,10,NULL,
2070,Global,buubE09BE75F-BA01-4AC2-92E1-038D0A8AC2BE,public/2070/0F0E5711-68A3-416A-8FA5-C05A551320D4/textAnnotations/buub.html,624,buub,1,NULL,2,Termin_002,3,1,
2072,Global,in45F19A62-25A1-4F6F-A73B-93D87F4A7610,public/2072/D18F44A3-B0BC-4205-9216-4F45F7141206/textAnnotations/in.html,624,in,1,NULL,2,Termin_002,3,1,
2073,Global,01AA5D15-6433-4674-95A7-DF5CF6598844,public/2073/75D722CD-EEF5-48ED-8AC6-90519A9C1D6E/textAnnotations/sample_text.html,48,sample_text,1,NULL,NULL,Devsurg.1,3,NULL,
2073,Global,1B95D331-78F5-474D-A581-45450CF12C80,public/2073/75D722CD-EEF5-48ED-8AC6-90519A9C1D6E/audiosAnnotations/sample_audio.m4a,4172640,sample_audio,1,NULL,NULL,Devsurg.1,3,NULL,
2073,Global,4d91b307-facf-4198-b25e-335b3815110d,public/2073/75D722CD-EEF5-48ED-8AC6-90519A9C1D6E/others/original/z_document_20200320183328.csv,366,z_document_20200320183328.csv,1,NULL,NULL,Devsurg.1,3,NULL,
2074,Global,hhu483B6712-5E6B-4DFD-BCD1-4D186D2D1D00,public/2074/ECBC0B63-68C5-4F10-9136-EDC5DC47A4B1/textAnnotations/hhu.html,624,hhu,1,NULL,NULL,Devsurg.1,3,NULL,
2075,Global,hh7F238ABA-3B98-489C-9198-D2F1ACC4758A,public/2075/9976A7DD-49A0-4AB9-989B-A2B291EFE400/textAnnotations/hh.html,624,hh,1,NULL,NULL,Devsurg.1,3,NULL,
2076,Global,jsjsF2EC8526-5E57-410D-B583-397F6BA66300,public/2076/310B3C50-8A95-466C-8CD0-5DC0753B6CE3/textAnnotations/jsjs.html,624,jsjs,1,NULL,NULL,Devsurg.1,3,NULL,
2077,Global,sCB618EF2-F1CE-4D6E-805A-0009CC99205F,public/2077/157A0C2B-1F7C-4725-83E1-5AFD71B55614/textAnnotations/s.html,624,s,1,NULL,4,Devsurg.1,3,NULL,
2078,Global,dgdD4883D02-3EC5-4F2C-A3FC-3A85C340F571,public/2078/56D388A5-F102-4ED5-AF00-BF8D54ED5454/textAnnotations/dgd.html,624,dgd,1,NULL,NULL,Devsurg.1,3,NULL,
2078,Global,7f608e36-da00-467d-8143-b3e090295f52,public/2078/56D388A5-F102-4ED5-AF00-BF8D54ED5454/textAnnotations/z_jk.html,100,z_jk,1,NULL,NULL,Devsurg.1,3,NULL,
2078,Global,2d750b7b-7382-46c0-a4ec-f3e2a827c13c,public/2078/56D388A5-F102-4ED5-AF00-BF8D54ED5454/audiosAnnotations/z_sdf.mp3,53936,z_sdf.mp3,1,NULL,NULL,Devsurg.1,3,NULL,
2079,Global,bsjhsAE04C89D-00F1-4BB0-ADC1-3E49A1096C81,public/2079/9D29B6AF-8C38-4295-B15D-6384C02BA081/textAnnotations/bsjhs.html,624,bsjhs,1,NULL,NULL,Devsurg.1,3,NULL,
2080,Global,bubEAC5876C-9ADB-4457-8F35-BF4710015721,public/2080/9A59FE69-F242-4D3B-8311-2F96FB7B1390/textAnnotations/bub.html,608,bub,1,NULL,4,Devsurg.1,3,NULL,
2081,Global,uuu6C989D2E-DE31-46D3-8DD3-69E18CB03049,public/2081/0452C64C-B115-4BBF-B4CE-3E2CCE23C538/textAnnotations/uuu.html,608,uuu,1,NULL,NULL,Santhoshi23,10,NULL,
2081,Global,fa597df7-79f9-48ce-bd67-8b51a5edd0d9,public/2081/0452C64C-B115-4BBF-B4CE-3E2CCE23C538/others/original/z_document_20200320172047.docx,15137,z_document_20200320172047.docx,1,NULL,NULL,Santhoshi23,10,NULL,
2081,Global,4e66ebe9-d896-40ea-8d75-0ec98ea1edf2,public/2081/0452C64C-B115-4BBF-B4CE-3E2CCE23C538/textAnnotations/z_Fff.html,100,z_Fff,1,NULL,NULL,Santhoshi23,10,NULL,
2082,Global,u3032570F-BA61-408E-A94B-05BB60DD6324,public/2082/CE27384D-561E-41CB-9605-D0C5D028EC06/textAnnotations/u.html,624,u,1,NULL,NULL,Santhoshi23,10,NULL,
2082,Global,459a6911-48f2-4774-b05a-83ab37e163cc,public/2082/CE27384D-561E-41CB-9605-D0C5D028EC06/others/original/z_audio_20200320161428.mp3,2676949,z_audio_20200320161428.mp3,1,NULL,NULL,Santhoshi23,10,NULL,
2082,Global,8da7aef3-c82d-4063-8325-28404aa4e8e9,public/2082/CE27384D-561E-41CB-9605-D0C5D028EC06/others/original/z_document_20200320162213.doc,3247104,z_document_20200320162213.doc,0,NULL,NULL,Santhoshi23,10,NULL,
2083,Global,yuB8DB197C-9053-4616-A438-39A03AEAB206,public/2083/39AB0092-B97A-4721-88AF-990F21525E6C/textAnnotations/yu.html,608,yu,1,NULL,4,Santhoshi23,10,NULL,
2083,Global,6ab88f76-db96-4182-a650-c601f4209a4d,public/2083/39AB0092-B97A-4721-88AF-990F21525E6C/audiosAnnotations/z_usha.mp3,36025,z_usha.mp3,1,NULL,4,Santhoshi23,10,NULL,
2085,Global,ygyggy614374AA-2569-408E-9A1F-3CD3AB3279A9,public/2085/FB417FA8-8F2E-4CDD-A2C6-26E5D29A3798/textAnnotations/ygyggy.html,624,ygyggy,1,NULL,2,Termin_002,3,1,
2086,Global,ughghbhuuh21EA8AC6-BE8D-4464-A8BC-31A821C7030B,public/2086/F714D348-1198-462C-9FBA-5AF1DFA6F489/textAnnotations/ughghbhuuh.html,624,ughghbhuuh,1,NULL,2,Termin_002,3,1,
2087,Global,ububhuub08B01180-2F0E-43C3-B3C6-E99FE87FD634,public/2087/F6383561-310B-4A0E-B1C1-20DD0D4D8015/textAnnotations/ububhuub.html,624,ububhuub,1,NULL,NULL,Termin_001,3,3,
2088,Global,bhbhgkhvB9309EC8-ED0F-4DE2-B2B6-4A9F6A02EB57,public/2088/78BA2E0B-E27D-43EB-968A-6B0E6FFB2057/textAnnotations/bhbhgkhv.html,624,bhbhgkhv,1,NULL,NULL,Termin_001,3,3,
2089,Global,4C2E8E0B-B80E-4EAA-A8AB-9F29BDDF0AA3,public/2089/75D722CD-EEF5-48ED-8AC6-90519A9C1D6E/textAnnotations/sample_text.html,48,sample_text,1,NULL,NULL,Devuser.10,11,3,
2089,Global,e6d629e5-f4b6-4e88-ad04-e684683f8251,public/2089/0452C64C-B115-4BBF-B4CE-3E2CCE23C538/others/original/z_document_20200320172047.docx,624640,z_document_20200320155143.ppt,1,NULL,NULL,Devuser.10,11,3,
2090,Global,gg349F4A8A-3388-4EB1-B1BC-E16F8D9C0735,public/2090/BFAA0DFF-E499-438B-85E7-F85E245E1974/textAnnotations/gg.html,624,gg,0,NULL,NULL,Devuser.10,11,3,
2090,Global,c2902c4f-0c4b-4b2c-8d7a-e62f78918e88,public/2090/BFAA0DFF-E499-438B-85E7-F85E245E1974/textAnnotations/z_testmanual.html,100,z_testmanual,0,NULL,NULL,Devuser.10,11,3,
2090,Global,8a3cd658-5a06-47ef-8656-8f5bd0d9b30e,public/2090/BFAA0DFF-E499-438B-85E7-F85E245E1974/others/original/z_document_20200504132636.docx,1316097,z_document_20200504132636.docx,1,NULL,NULL,Devuser.10,11,3,
2090,Global,ed8fee99-9c15-4497-b9d9-cf74f7e1930d,public/2090/BFAA0DFF-E499-438B-85E7-F85E245E1974/textAnnotations/z_Test.html,100,z_Test,1,NULL,NULL,Devuser.10,11,3,
2091,Global,woe-u-8-8CFD,public/2091/0452C64C-B115-4BBF-B4CE-3E2CCE23C538/others/original/z_document_20200320172047.docx,624,hfhhffh,1,NULL,NULL,Surgeon101,10,NULL,
2091,Global,KOL-09-yekk-765CC,public/2091/0452C64C-B115-4BBF-B4CE-3E2CCE23C538/others/original/z_document_20200320172047.docx,141392,audio,1,NULL,NULL,Surgeon101,10,NULL,
2092,Global,ghBEC43033-299C-492C-978D-BCA4005D1DAF,public/2092/5B9853C4-A550-4039-A14A-432CF8C5C5CB/textAnnotations/gh.html,608,gh,1,NULL,4,Devuser.10,11,3,
2093,Global,hh9E89C90A-A54F-4FE9-8A5D-0C7480C27CF0,public/2093/6E4491F0-9C9D-4375-B8F3-3F4AEFEC62A1/textAnnotations/hh.html,608,hh,1,NULL,NULL,Devuser.10,11,3,
2094,Global,hh964646CE-DE86-4674-90AD-978815585E6A,public/2094/F5D11EA1-BACA-4DD9-8C5E-0855DEBED031/textAnnotations/hh.html,624,hh,1,NULL,NULL,Devuser.10,11,3,
2095,Global,gh3E1E32BB-E00D-4E76-A37C-D4CEBBDCFA66,public/2095/0F246743-F3F2-4ED2-9611-D5DD5E8DA0EF/textAnnotations/gh.html,608,gh,1,NULL,NULL,Devuser.10,11,3,
2096,Global,u5F17B53F-7918-407C-8FF4-7A2831D9CB71,public/2096/5D8840EF-4CB8-4668-8E41-0ED704C0588B/textAnnotations/u.html,608,u,1,NULL,NULL,Devuser.10,11,3,
2096,Global,1eac9386-84ac-4367-ad63-8dc806990676,public/2096/5D8840EF-4CB8-4668-8E41-0ED704C0588B/others/originalother,9148,z_document_20200402133407.jfif,1,NULL,NULL,Devuser.10,11,3,
2096,Global,9e966c66-d5f1-4291-b8b6-24677d4acc1a,public/2096/5D8840EF-4CB8-4668-8E41-0ED704C0588B/others/original/other,9148,z_document_20200402134319.jfif,1,NULL,NULL,Devuser.10,11,3,
2096,Global,85410834-ec2f-4d90-a2c9-5759b88732dc,public/2096/5D8840EF-4CB8-4668-8E41-0ED704C0588B/others/original/z_test-text_df_w_se_fi_ld_e_-_Copy_(2).txt,23,z_test-text_df_w_se_fi_ld_e_-_Copy_(2).txt,1,NULL,NULL,Devuser.10,11,3,
2097,Global,yyy0E4CB68A-F6C2-4265-B76C-B23E188E988F,public/2097/D300BC5D-32C5-4646-9D52-BF07E621690A/textAnnotations/yyy.html,608,yyy,1,NULL,NULL,Devuser.10,11,3,
2097,Global,b841710c-7a92-4ddb-a6be-7a10da100a70,public/2097/D300BC5D-32C5-4646-9D52-BF07E621690A/textAnnotations/yyy.html,9148,z_document_20200402131057.jfif,1,NULL,NULL,Devuser.10,11,3,
2097,Global,07d4872d-18be-41e0-b6b9-768255080e6d,public/2097/D300BC5D-32C5-4646-9D52-BF07E621690A/textAnnotations/yyy.html,9148,z_document_20200402131127.jfif,1,NULL,NULL,Devuser.10,11,3,
2097,Global,84e2e940-b603-455b-91a6-902d73a05104,public/2097/D300BC5D-32C5-4646-9D52-BF07E621690A/textAnnotations/yyy.html,68,z_document_20200430110425.txt,1,NULL,NULL,Devuser.10,11,3,
2098,Global,yu1F285AE7-6A3E-4C9B-92E7-CDD644551CD7,public/2098/52E5D75E-01A4-4325-B2BD-C7C5040FE2B0/textAnnotations/yu.html,656,yu,1,NULL,NULL,Devuser.10,11,3,
2098,Global,1166bb8e-71a0-4ea3-a7c4-f6a493279812,public/2098/0452C64C-B115-4BBF-B4CE-3E2CCE23C538/others/original/z_document_20200320172047.docx,70,z_document_20200430062112.txt,1,NULL,NULL,Devuser.10,11,3,
2098,Global,aa99a647-c068-44c9-ba0d-70b651cf4835,public/2098/52E5D75E-01A4-4325-B2BD-C7C5040FE2B0/textAnnotations/z_sumantha.html,100,z_sumantha,1,NULL,NULL,Devuser.10,11,3,
2098,Global,4b1425c7-9c06-4d12-8356-eeaea94745ac,public/2098/52E5D75E-01A4-4325-B2BD-C7C5040FE2B0/others/original/z_document_20200430120110.txt,8,z_document_20200430120110.txt,1,NULL,NULL,Devuser.10,11,3,
2099,Global,m9D052783-157C-49CC-AEDB-375A001E2EF6,public/2099/F41EFADB-3F31-4CBC-95DA-9807ADA9F7CC/textAnnotations/m.html,608,m,1,NULL,4,Devuser.10,11,3,
2099,Global,f2ad6cd8-e25e-4ebc-adb7-b1d60b4c28fe,public/2099/0452C64C-B115-4BBF-B4CE-3E2CCE23C538/others/original/z_document_20200320172047.docx,9148,z_document_20200403015018.jfif,1,NULL,4,Devuser.10,11,3,
2099,Global,64d83dac-a776-44b5-85e8-aa46d7e01490,public/2099/F41EFADB-3F31-4CBC-95DA-9807ADA9F7CC/textAnnotations/z_test.html,100,z_test,1,NULL,4,Devuser.10,11,3,
